City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
205,Itarema,BR,2021-10-09 20:43:45,-2.9248,-39.9167,80.19,76,92,17.76,overcast clouds
206,Charters Towers,AU,2021-10-09 20:43:46,-20.1,146.2667,68.88,84,27,11.05,scattered clouds
207,Mosjoen,NO,2021-10-09 20:43:46,65.836,13.1908,53.6,95,100,11.88,light rain
208,Yumen,CN,2021-10-09 20:43:47,40.2833,97.2,34.23,28,0,6.02,clear sky
209,Mar Del Plata,AR,2021-10-09 20:40:24,-38.0023,-57.5575,55.42,61,0,15.99,clear sky
210,Chuy,UY,2021-10-09 20:39:22,-33.6971,-53.4616,59.58,73,17,9.82,few clouds
211,Tsabong,BW,2021-10-09 20:43:47,-26.0217,22.401,62.67,23,44,11.74,scattered clouds
212,Sarangani,PH,2021-10-09 20:43:48,5.4033,125.4636,84.33,76,100,19.08,overcast clouds
213,Road Town,VG,2021-10-09 20:43:48,18.4167,-64.6167,87.84,58,20,9.22,few clouds
214,Plaza De Caisan,PA,2021-10-09 20:43:48,8.7333,-82.8167,78.89,90,79,3.44,broken clouds
215,Prainha,BR,2021-10-09 20:43:49,-1.8,-53.48,91.08,41,25,3.24,scattered clouds
216,Huaral,PE,2021-10-09 20:43:49,-11.495,-77.2078,62.53,73,50,7.61,scattered clouds
217,Vangaindrano,MG,2021-10-09 20:43:49,-23.35,47.6,66.58,83,16,6.73,few clouds
218,Chara,RU,2021-10-09 20:43:50,56.9064,118.2631,29.25,63,11,1.57,few clouds
219,Boyolangu,ID,2021-10-09 20:43:50,-8.1181,111.8935,73.67,95,90,3.53,overcast clouds
220,Walvis Bay,NA,2021-10-09 20:43:40,-22.9575,14.5053,58.15,82,0,6.91,clear sky
221,Cairns,AU,2021-10-09 20:43:51,-16.9167,145.7667,75.15,86,75,5.75,broken clouds
222,Samarai,PG,2021-10-09 20:43:51,-10.6167,150.6667,79.21,81,86,16.28,overcast clouds
223,Butaritari,KI,2021-10-09 20:43:51,3.0707,172.7902,82.45,66,100,12.3,overcast clouds
224,San Matias,BO,2021-10-09 20:43:52,-16.3667,-58.4,96.6,32,73,4.09,broken clouds
225,Port Hedland,AU,2021-10-09 20:43:52,-20.3167,118.5667,66.25,48,0,10.36,clear sky
226,Homberg,DE,2021-10-09 20:43:52,51.0333,9.4,46.92,87,44,2.3,scattered clouds
227,Qandala,SO,2021-10-09 20:43:53,11.472,49.8728,84.63,73,11,2.71,few clouds
228,Chililabombwe,ZM,2021-10-09 20:40:13,-12.3648,27.8229,77.31,30,48,6.69,scattered clouds
229,Saskylakh,RU,2021-10-09 20:41:40,71.9167,114.0833,7.66,99,100,3.22,overcast clouds
230,Dunedin,NZ,2021-10-09 20:42:17,-45.8742,170.5036,55.8,68,2,5.01,clear sky
231,Meulaboh,ID,2021-10-09 20:43:54,4.1363,96.1285,76.57,87,90,5.95,overcast clouds
232,Severo-Yeniseyskiy,RU,2021-10-09 20:43:54,60.3725,93.0408,28.36,88,100,14.41,overcast clouds
233,Merauke,ID,2021-10-09 20:43:54,-8.4667,140.3333,77.94,88,100,8.48,overcast clouds
234,Arman,RU,2021-10-09 20:43:55,59.7,150.1667,27.55,57,4,5.39,clear sky
235,Nanortalik,GL,2021-10-09 20:43:28,60.1432,-45.2371,36.36,82,6,6.62,clear sky
