City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
226,Homberg,DE,46.92,scattered clouds,51.0333,9.4,Hotel & Restaurant Stadt Cassel
228,Chililabombwe,ZM,77.31,scattered clouds,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
230,Dunedin,NZ,55.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
231,Meulaboh,ID,76.57,overcast clouds,4.1363,96.1285,Kost Pria
232,Severo-Yeniseyskiy,RU,28.36,overcast clouds,60.3725,93.0408,Aktolik
235,Nanortalik,GL,36.36,clear sky,60.1432,-45.2371,Hotel Kap Farvel
236,Ulaangom,MN,32.05,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
238,Deori Khas,IN,71.8,scattered clouds,23.4,79.0167,SAMARPAD COMPUTER DEORI
240,Ismailia,EG,70.36,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
241,Llangefni,GB,59.65,broken clouds,53.2556,-4.3106,Bull Hotel
242,Soyo,AO,76.62,broken clouds,-6.1349,12.3689,Hotel Mpampa
243,Darhan,MN,33.66,clear sky,49.4867,105.9228,Buudai Hotel
244,Qaanaaq,GL,28.26,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
245,Chengde,CN,49.06,scattered clouds,40.9725,117.9361,Super 8 Hotel
246,Pangody,RU,26.71,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
247,Jahanabad,IN,75.04,clear sky,25.2167,84.9833,TENI BIGHA
248,Concepcion Del Oro,MX,76.53,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
249,Wuda,CN,39.72,clear sky,39.4994,106.7117,Grape Sightseeing Garden
250,Marrakesh,MA,78.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
251,Scottsbluff,US,71.83,few clouds,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
252,Kirakira,SB,80.01,overcast clouds,-10.4544,161.9205,SanBiz Lodge
253,Esperance,AU,49.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
254,Suntar,RU,36.91,overcast clouds,62.1444,117.6319,Гостевая квартира
255,Aklavik,CA,32.0,broken clouds,68.2191,-135.0107,Aklavik Inn
256,Byron Bay,AU,73.06,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
257,Ganzhou,CN,72.61,overcast clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
258,Ancud,CL,63.93,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
259,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
260,Shingu,JP,71.38,scattered clouds,33.7333,135.9833,Shingu UI Hotel
261,Viedma,AR,78.3,clear sky,-40.8135,-62.9967,Hotel Cristal
262,Padang,ID,75.25,scattered clouds,-0.9492,100.3543,Mercure Padang
263,Linxia,CN,34.43,light rain,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
264,Pringsewu,ID,74.48,scattered clouds,-5.3582,104.9744,Urban Style by Front One
265,Necochea,AR,65.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
266,Nuevo Progreso,MX,91.6,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
267,Lakatoro,VU,79.14,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
268,Edgewater,US,88.21,clear sky,28.9889,-80.9023,Islander Beach Resort
269,High Prairie,CA,56.5,overcast clouds,55.4334,-116.4858,Royal Star Motor Inn
270,Alyangula,AU,71.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
271,Hasaki,JP,66.6,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
272,Correntina,BR,89.35,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
273,Fairbanks,US,39.6,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
274,Abha,SA,67.82,clear sky,18.2164,42.5053,Abha Hotel
275,Crestview,US,88.52,clear sky,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
276,Sterling,US,72.16,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
277,Beyneu,KZ,49.06,clear sky,45.3167,55.2,NUR
278,Johvi,EE,49.51,overcast clouds,59.3592,27.4211,Hotel Wironia
279,Huilong,CN,77.99,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
280,Ponta Delgada,PT,70.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
282,Buloh Kasap,MY,78.71,overcast clouds,2.5536,102.764,Teratak Ixora Segamat
283,Fort-Shevchenko,KZ,50.31,clear sky,44.5086,50.263,Oasis hotel Bautino
284,Sladkovo,RU,42.33,overcast clouds,55.5284,70.3385,Gostinitsa
285,Tabuk,PH,72.91,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
286,San Juan,AR,61.74,broken clouds,-31.5375,-68.5364,Hotel Provincial
287,Zhezkazgan,KZ,44.83,overcast clouds,47.8043,67.7144,Hotel Zumrat
288,Dalvik,IS,40.93,overcast clouds,65.9702,-18.5286,Dalvík HI Hostel
289,Bilibino,RU,4.59,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
290,Beohari,IN,70.79,clear sky,24.05,81.3833,Hotel Madhav Madhuvan
291,San Patricio,US,91.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
292,Sao Sebastiao,BR,66.58,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
293,Turinsk,RU,33.51,broken clouds,58.0458,63.696,hotel Arthur
294,Imbituba,BR,64.29,light rain,-28.24,-48.6703,Praia Hotel Imbituba
295,Jiuquan,CN,36.36,clear sky,39.7432,98.5174,Jiuquan Hotel
296,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
297,Ambilobe,MG,71.46,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
298,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
299,Wajima,JP,70.77,few clouds,37.4,136.9,Wajiima Onsen Yashio
300,Severo-Kurilsk,RU,44.58,few clouds,50.6789,156.125,Kak Doma
301,Coquimbo,CL,62.33,few clouds,-29.9533,-71.3436,Punto de encuentro
302,Lata,PT,62.08,scattered clouds,40.1629,-8.3327,Casa Maquia
303,Shwebo,MM,77.72,scattered clouds,22.5667,95.7,MOON SHINE Guest House
